comp_name,Industry,Symbol,yf_sym
Shyam Metalics and Energy,Capital Goods,SHYAMMETL,SHYAMMETL.ns
Siemens,Capital Goods,SIEMENS,SIEMENS.ns
Signatureglobal (India),Realty,SIGNATURE,SIGNATURE.ns
Sobha,Realty,SOBHA,SOBHA.ns
Solar Industries India,Chemicals,SOLARINDS,SOLARINDS.ns
Sona BLW Precision Forgings,Automobile and Auto Components,SONACOMS,SONACOMS.ns
Sonata Software,Information Technology,SONATSOFTW,SONATSOFTW.ns
Star Health and Allied Insurance Company,Financial Services,STARHEALTH,STARHEALTH.ns
State Bank of,Financial Services,SBIN,SBIN.ns
Steel Authority of India,Metals & Mining,SAIL,SAIL.ns
Sterling and Wilson Renewable Energy,Construction,SWSOLAR,SWSOLAR.ns
Sumitomo Chemical India,Chemicals,SUMICHEM,SUMICHEM.ns
Sun Pharma Advanced Research Company,Healthcare,SPARC,SPARC.ns
Sun Pharmaceutical Industries,Healthcare,SUNPHARMA,SUNPHARMA.ns
Sun TV Network,Media Entertainment & Publication,SUNTV,SUNTV.ns
Sundaram Finance,Financial Services,SUNDARMFIN,SUNDARMFIN.ns
Sundram Fasteners,Automobile and Auto Components,SUNDRMFAST,SUNDRMFAST.ns
Supreme Industries,Capital Goods,SUPREMEIND,SUPREMEIND.ns
Suven Pharmaceuticals,Healthcare,SUVENPHAR,SUVENPHAR.ns
Suzlon Energy,Capital Goods,SUZLON,SUZLON.ns
Swan Energy,Diversified,SWANENERGY,SWANENERGY.ns
Syngene International,Healthcare,SYNGENE,SYNGENE.ns
Syrma SGS Technology,Capital Goods,SYRMA,SYRMA.ns
TBO Tek,Consumer Services,TBOTEK,TBOTEK.ns
TVS Motor Company,Automobile and Auto Components,TVSMOTOR,TVSMOTOR.ns
TVS Supply Chain Solutions,Services,TVSSCS,TVSSCS.ns
Tanla Platforms,Information Technology,TANLA,TANLA.ns
Tata Chemicals,Chemicals,TATACHEM,TATACHEM.ns
Tata Communications,Telecommunication,TATACOMM,TATACOMM.ns
Tata Consultancy Services,Information Technology,TCS,TCS.ns
Tata Consumer Products,Fast Moving Consumer Goods,TATACONSUM,TATACONSUM.ns
Tata Elxsi,Information Technology,TATAELXSI,TATAELXSI.ns
Tata Investment Corporation,Financial Services,TATAINVEST,TATAINVEST.ns
Tata Motors,Automobile and Auto Components,TATAMOTORS,TATAMOTORS.ns
Tata Power Co,Power,TATAPOWER,TATAPOWER.ns
Tata Steel,Metals & Mining,TATASTEEL,TATASTEEL.ns
Tata Technologies,Information Technology,TATATECH,TATATECH.ns
Tata Teleservices (Maharashtra),Telecommunication,TTML,TTML.ns
Tech Mahindra,Information Technology,TECHM,TECHM.ns
Techno Electric & Engineering Company,Construction,TECHNOE,TECHNOE.ns
Tejas Networks,Telecommunication,TEJASNET,TEJASNET.ns
The New India Assurance Company,Financial Services,NIACL,NIACL.ns
The Ramco Cements,Construction Materials,RAMCOCEM,RAMCOCEM.ns
Thermax,Capital Goods,THERMAX,THERMAX.ns
Timken India,Capital Goods,TIMKEN,TIMKEN.ns
Titagarh Rail Systems,Capital Goods,TITAGARH,TITAGARH.ns
Titan Company,Consumer Durables,TITAN,TITAN.ns
Torrent Pharmaceuticals,Healthcare,TORNTPHARM,TORNTPHARM.ns
Torrent Power,Power,TORNTPOWER,TORNTPOWER.ns
Trent,Consumer Services,TRENT,TRENT.ns
Trident,Textiles,TRIDENT,TRIDENT.ns
Triveni Engineering & Industries,Fast Moving Consumer Goods,TRIVENI,TRIVENI.ns
Triveni Turbine,Capital Goods,TRITURBINE,TRITURBINE.ns
Tube Investments of India,Automobile and Auto Components,TIINDIA,TIINDIA.ns
UCO,Financial Services,UCOBANK,UCOBANK.ns
UNO Minda,Automobile and Auto Components,UNOMINDA,UNOMINDA.ns
UPL,Chemicals,UPL,UPL.ns
UTI Asset Management Company,Financial Services,UTIAMC,UTIAMC.ns
Ujjivan Small Finance Bank,Financial Services,UJJIVANSFB,UJJIVANSFB.ns
UltraTech Cement,Construction Materials,ULTRACEMCO,ULTRACEMCO.ns
Union Bank of,Financial Services,UNIONBANK,UNIONBANK.ns
United Breweries,Fast Moving Consumer Goods,UBL,UBL.ns
United Spirits,Fast Moving Consumer Goods,UNITDSPR,UNITDSPR.ns
Usha Martin,Capital Goods,USHAMART,USHAMART.ns
V-Guard Industries,Consumer Durables,VGUARD,VGUARD.ns
VIP Industries,Consumer Durables,VIPIND,VIPIND.ns
Valor Estate,Realty,DBREALTY,DBREALTY.ns
Vardhman Textiles,Textiles,VTL,VTL.ns
Varroc Engineering,Automobile and Auto Components,VARROC,VARROC.ns
Varun Beverages,Fast Moving Consumer Goods,VBL,VBL.ns
Vedant Fashions,Consumer Services,MANYAVAR,MANYAVAR.ns
Vedanta,Metals & Mining,VEDL,VEDL.ns
Vijaya Diagnostic Centre,Healthcare,VIJAYA,VIJAYA.ns
Vinati Organics,Chemicals,VINATIORGA,VINATIORGA.ns
Vodafone Idea,Telecommunication,IDEA,IDEA.ns
Voltas,Consumer Durables,VOLTAS,VOLTAS.ns
Welspun Corp,Capital Goods,WELCORP,WELCORP.ns
Welspun Living,Textiles,WELSPUNLIV,WELSPUNLIV.ns
Westlife Foodworld,Consumer Services,WESTLIFE,WESTLIFE.ns
Whirlpool of India,Consumer Durables,WHIRLPOOL,WHIRLPOOL.ns
Wipro,Information Technology,WIPRO,WIPRO.ns
Yes Bank,Financial Services,YESBANK,YESBANK.ns
ZF Commercial Vehicle Control Systems India,Automobile and Auto Components,ZFCVINDIA,ZFCVINDIA.ns
Zee Entertainment Enterprises,Media Entertainment & Publication,ZEEL,ZEEL.ns
Zensar Technolgies,Information Technology,ZENSARTECH,ZENSARTECH.ns
Zomato,Consumer Services,ZOMATO,ZOMATO.ns
Zydus Lifesciences,Healthcare,ZYDUSLIFE,ZYDUSLIFE.ns
eClerx Services,Services,ECLERX,ECLERX.ns
